"sorting_1","sorting_2","odd","odd 2","even","even 2"
"Australia","Australian Capital Territory","Australian National University","Graduate","",""
"Australia","Australian Capital Territory","","","Australian National University","Undergraduate"
"Australia","Australian Capital Territory","University of Canberra","Graduate","",""
"Australia","Australian Capital Territory","","","University of Canberra","Undergraduate"
"Australia","New South Wales","Macquarie University","Graduate","",""
"Australia","New South Wales","","","Macquarie University","Undergraduate"
"Australia","New South Wales","University of New South Wales","Graduate","",""
"Australia","New South Wales","","","University of New South Wales","Undergraduate"
"Australia","New South Wales","University of Sydney","Graduate","",""
"Australia","New South Wales","","","University of Sydney","Undergraduate"
"Australia","Queensland","Griffith University","Graduate","",""
"Australia","Queensland","","","Griffith University","Undergraduate"
"Australia","Queensland","James Cook University","Graduate","",""
"Australia","Queensland","","","James Cook University","Undergraduate"
"Australia","Queensland","Queensland University of Technology","Graduate","",""
"Australia","Queensland","","","Queensland University of Technology","Undergraduate"
"Australia","Queensland","University of Southern Queensland","Graduate","",""
"Australia","Queensland","","","University of Southern Queensland","Undergraduate"
"Australia","South Australia","Carnegie Mellon University Australia","Graduate","",""
"Australia","South Australia","","","University of Adelaide","Graduate"
"Australia","South Australia","University of Adelaide","Undergraduate","",""
"Australia","South Australia","","","University of South Australia","Graduate"
"Australia","South Australia","University of South Australia","Undergraduate","",""
"Australia","Victoria","","","Federation University","Graduate"
"Australia","Victoria","Federation University","Undergraduate","",""
"Australia","Victoria","","","Latrobe University","Graduate"
"Australia","Victoria","Latrobe University","Undergraduate","",""
"Australia","Victoria","","","Monash University","Graduate"
"Australia","Victoria","Monash University","Undergraduate","",""
"Australia","Victoria","","","Royal Melbourne Institute of Technology University (RMIT)","Graduate"
"Australia","Victoria","Royal Melbourne Institute of Technology University (RMIT)","Undergraduate","",""
"Australia","Victoria","","","Swinburne University of Technology","Graduate"
"Australia","Victoria","Swinburne University of Technology","Undergraduate","",""
"Australia","Victoria","","","University of Melbourne","Graduate"
"Australia","Victoria","University of Melbourne","Undergraduate","",""
"Australia","Western Australia","","","Curtin University","Graduate"
"Australia","Western Australia","Curtin University","Undergraduate","",""
"Australia","Western Australia","","","Edith Cowan University","Graduate"
"Australia","Western Australia","Edith Cowan University","Undergraduate","",""
"Australia","Western Australia","","","Murdoch University","Graduate"
"Australia","Western Australia","Murdoch University","Undergraduate","",""
"Australia","Western Australia","","","Notre Dame University","Graduate"
"Australia","Western Australia","Notre Dame University","Undergraduate","",""
"Australia","Western Australia","","","University of Western Australia","Graduate"
"Australia","Western Australia","University of Western Australia","Undergraduate","",""
"Austria","","","","MCI, The Entrepreneurial School","Undergraduate"
"Belgium","","Artevelde University of Applied Sciences","All English taught programs","",""
"Belgium","","","","Hasselt University","Master in Management"
"Belgium","","KU Leuven","Graduate","",""
"Belgium","","","","KU Leuven","Undergraduate"
"Belgium","","Thomas More University of Applied Sciences","All English taught programs","",""
"Belgium","","","","UC Leuven Limburg University College (UCLL)","All English taught programs"
"Belgium","","University of Antwerp","Institution of Development Policy","",""
"Belgium","","","","Vrije Universiteit Brussel","All English speaking programs"
"Canada","Alberta","Alberta College of Speech-Language Pathologists and Audiologists (ACSLPA)","Undergraduate","",""
"Canada","Alberta","","","Macewan University","Undergraduate"
"Canada","Alberta","Northern Alberta Institute of Techonology and Advanced Learning (NAIT)","All programs","",""
"Canada","Alberta","","","Southern Alberta Institute of Techonology and Advanced Learning (SAIT)","All programs"
"Canada","Alberta","University of Alberta","Graduate","",""
"Canada","Alberta","","","University of Alberta","Undergraduate"
"Canada","Alberta","University of Calgary","Graduate","",""
"Canada","Alberta","","","University of Calgary","Undergraduate"
"Canada","Alberta","University of Lethbridge","Graduate","",""
"Canada","Alberta","","","University of Lethbridge","Undergraduate"
"Canada","British Columbia","British Columbia Institute of Technology (BCIT)","Undergraduate","",""
"Canada","British Columbia","","","Royal Roads University","Graduate"
"Canada","British Columbia","Royal Roads University","Undergraduate","",""
"Canada","British Columbia","","","Simon Fraser University","Graduate"
"Canada","British Columbia","Simon Fraser University","Undergraduate","",""
"Canada","British Columbia","","","Thompson Rivers University (TRU)","Undergraduate"
"Canada","British Columbia","University of British Columbia","Graduate","",""
"Canada","British Columbia","","","University of British Columbia","Undergraduate"
"Canada","British Columbia","University of the Fraser Valley","Graduate","",""
"Canada","British Columbia","","","University of the Fraser Valley","Undergraduate"
"Canada","British Columbia","University of Victoria","Graduate","",""
"Canada","British Columbia","","","University of Victoria","Undergraduate"
"Canada","British Columbia","Vancouver Island University","Graduate","",""
"Canada","British Columbia","","","Vancouver Island University","Graduate"
"Canada","British Columbia","Vancouver Island University","Undergraduate","",""
"Canada","Manitoba","","","Brandon University","Undergraduate"
"Canada","Manitoba","Manitoba Institute of Trades and Technology","Undergraduate","",""
"Canada","Manitoba","","","Red River College","Undergraduate"
"Canada","Manitoba","University of Manitoba","Undergraduate","",""
"Canada","Manitoba","","","University of Winnipeg","Undergraduate"
"Canada","New Brunswick","Mount Allison University","Graduate","",""
"Canada","New Brunswick","","","Mount Allison University","Undergraduate"
"Canada","New Brunswick","University of New Brunswick – School of Graduate Studies","Graduate","",""
"Canada","Newfoundland and Labrador","","","Memorial University of Newfoundland","Graduate"
"Canada","Newfoundland and Labrador","Memorial University of Newfoundland","Undergraduate","",""
"Canada","Nova Scotia","","","Acadia University","Graduate"
"Canada","Nova Scotia","Acadia University","Undergraduate","",""
"Canada","Nova Scotia","","","Dalhousie University Faculty of Graduate Studies","Graduate"
"Canada","Ontario","Brock University","Graduate","",""
"Canada","Ontario","","","Brock University","Undergraduate"
"Canada","Ontario","Canadian Alliance of Physiotherapy Regulators","","",""
"Canada","Ontario","","","Carleton University","Graduate"
"Canada","Ontario","Carleton University","Undergraduate","",""
"Canada","Ontario","","","College of Dietitians of Ontario","All programs"
"Canada","Ontario","Confederation College","Undergraduate","",""
"Canada","Ontario","","","Ethnos Canada","Emanate"
"Canada","Ontario","Georgian College","Graduate","",""
"Canada","Ontario","","","Georgian College","Undergraduate"
"Canada","Ontario","laurentian University","Graduate","",""
"Canada","Ontario","","","Laurentian University","Undergraduate"
"Canada","Ontario","Mohawk College","Undergraduate","",""
"Canada","Ontario","","","Niagara College","Undergraduate"
"Canada","Ontario","Nipissing University","Undergraduate","",""
"Canada","Ontario","","","Ontario Colleg eof Arts & Design University","Graduate"
